timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751089154077,782,GET ALL SONG,200,,Test API nghe nhạc 1-8,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,782,0,40
1751089154114,746,GET ALL SONG,200,,Test API nghe nhạc 1-191,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,746,0,1
1751089154071,790,GET ALL SONG,200,,Test API nghe nhạc 1-225,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,790,0,44
1751089154087,776,GET ALL SONG,200,,Test API nghe nhạc 1-87,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,776,0,28
1751089154083,780,GET ALL SONG,200,,Test API nghe nhạc 1-278,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,780,0,31
1751089154070,802,GET ALL SONG,200,,Test API nghe nhạc 1-185,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,801,0,43
1751089154118,755,GET ALL SONG,200,,Test API nghe nhạc 1-58,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,740,0,0
1751089154070,817,GET ALL SONG,200,,Test API nghe nhạc 1-271,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,802,0,45
1751089154089,806,GET ALL SONG,200,,Test API nghe nhạc 1-92,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,806,0,27
1751089154070,825,GET ALL SONG,200,,Test API nghe nhạc 1-280,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,825,0,46
1751089154113,823,GET ALL SONG,200,,Test API nghe nhạc 1-145,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,823,0,1
1751089154119,835,GET ALL SONG,200,,Test API nghe nhạc 1-257,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,835,0,0
1751089154076,879,GET ALL SONG,200,,Test API nghe nhạc 1-236,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,879,0,38
1751089154071,886,GET ALL SONG,200,,Test API nghe nhạc 1-159,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,886,0,46
1751089154083,886,GET ALL SONG,200,,Test API nghe nhạc 1-164,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,886,0,35
1751089154116,911,GET ALL SONG,200,,Test API nghe nhạc 1-80,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,911,0,1
1751089153914,1113,GET ALL SONG,200,,Test API nghe nhạc 1-128,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1113,0,211
1751089154559,460,GET ALL SONG,200,,Test API nghe nhạc 1-120,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,460,0,0
1751089153929,1087,GET ALL SONG,200,,Test API nghe nhạc 1-59,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1087,0,217
1751089154071,934,GET ALL SONG,200,,Test API nghe nhạc 1-283,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,933,0,43
1751089154115,885,GET ALL SONG,200,,Test API nghe nhạc 1-78,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,885,0,1
1751089154864,137,GET ALL SONG,200,,Test API nghe nhạc 1-278,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,137,0,0
1751089154072,915,GET ALL SONG,200,,Test API nghe nhạc 1-142,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,915,0,48
1751089154835,136,GET ALL SONG,200,,Test API nghe nhạc 1-213,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,135,0,0
1751089154084,885,GET ALL SONG,200,,Test API nghe nhạc 1-30,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,885,0,35
1751089154070,966,GET ALL SONG,200,,Test API nghe nhạc 1-96,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,966,0,44
1751089153948,1098,GET ALL SONG,200,,Test API nghe nhạc 1-297,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1088,0,170
1751089154113,948,GET ALL SONG,200,,Test API nghe nhạc 1-143,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,936,0,0
1751089154716,346,GET ALL SONG,200,,Test API nghe nhạc 1-100,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,346,0,0
1751089154086,976,GET ALL SONG,200,,Test API nghe nhạc 1-241,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,976,0,27
1751089154102,960,GET ALL SONG,200,,Test API nghe nhạc 1-158,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,960,0,17
1751089154069,994,GET ALL SONG,200,,Test API nghe nhạc 1-211,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,994,0,48
1751089154041,1022,GET ALL SONG,200,,Test API nghe nhạc 1-18,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1022,0,113
1751089154083,993,GET ALL SONG,200,,Test API nghe nhạc 1-83,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,993,0,30
1751089154104,988,GET ALL SONG,200,,Test API nghe nhạc 1-62,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,988,0,9
1751089154083,1009,GET ALL SONG,200,,Test API nghe nhạc 1-240,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,996,0,33
1751089154067,1040,GET ALL SONG,200,,Test API nghe nhạc 1-39,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1040,0,56
1751089154075,1036,GET ALL SONG,200,,Test API nghe nhạc 1-161,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1035,0,42
1751089154075,1039,GET ALL SONG,200,,Test API nghe nhạc 1-281,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1038,0,40
1751089154055,1063,GET ALL SONG,200,,Test API nghe nhạc 1-295,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1057,0,86
1751089154070,1059,GET ALL SONG,200,,Test API nghe nhạc 1-5,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1059,0,45
1751089154119,1013,GET ALL SONG,200,,Test API nghe nhạc 1-64,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1013,0,0
1751089154117,1021,GET ALL SONG,200,,Test API nghe nhạc 1-84,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,946,0,0
1751089154070,1083,GET ALL SONG,200,,Test API nghe nhạc 1-169,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1083,0,43
1751089154063,1091,GET ALL SONG,200,,Test API nghe nhạc 1-215,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1091,0,75
1751089154075,1096,GET ALL SONG,200,,Test API nghe nhạc 1-282,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1088,0,44
1751089154043,1129,GET ALL SONG,200,,Test API nghe nhạc 1-238,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,1128,0,106
1751089154563,611,GET ALL SONG,200,,Test API nghe nhạc 1-201,text,true,,511,136,300,300,http://localhost:8081/api/v1/public/songs,610,0,0
